Year,Title,Director,Genres,LB_Rating,TMDb_Popularity
2005,One Piece: Baron Omatsuri and the Secret Island,Mamoru Hosoda,"Action, Animation, Thriller, Comedy",4.06,6.1078
2006,Naruto the Movie: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"Adventure, Animation, Action",2.93,5.562
2006,Paprika,Satoshi Kon,"Animation, Science Fiction, Thriller",2.81,5.5292
2006,Boys Love,Kotaro Terauchi,"Drama, Romance",2.94,4.9562
2006,Digimon Savers 3D: The Digital World in Imminent Danger!,Tetsuharu Nakamura,"Animation, Science Fiction",None,4.3071
2006,Happy!,Osamu Katayama,"TV Movie, Drama",3.35,3.5599
2007,Always: Sunset on Third Street 2,Takashi Yamazaki,"Comedy, Drama",3.63,5.7105
2007,Crows Zero,Takashi Miike,"Action, Comedy, Crime",3.61,6.1426
2007,Schoolboy Crush,Kotaro Terauchi,Drama,None,5.7037
2007,Otome wa Boku ni Koishiteru Special,Unknown,"Animation, Comedy, Romance",None,13.0577
2007,Naruto Shippuden the Movie,Hajime Kamegaki,"Animation, Action, Fantasy",3.18,7.5668
2008,Ponyo,Hayao Miyazaki,"Animation, Fantasy, Family",4.12,8.166
2008,Suspect X,Hiroshi Nishitani,"Crime, Drama, Mystery",3.67,6.4488
2008,Naruto Shippuden the Movie: Bonds,Hajime Kamegaki,"Fantasy, Animation, Action",3.06,6.0702
2008,Siren X,Hideo Jojo,"Thriller, Horror",None,5.2555
2008,Spooky Kitaro: Youkai Japan Rally 3D,Kenji Nakamura,"Adventure, Fantasy, Animation",None,5.0279
2009,Naruto Shippuden the Movie: The Will of Fire,Masahiko Murata,"Action, Adventure, Comedy, Drama, Fantasy, Animation",3.16,6.9466
2009,The Shock Labyrinth,Takashi Shimizu,"Horror, Thriller",2.58,5.2588
2009,Death Note Relight 2: L's Successors,Tetsuro Araki,"TV Movie, Thriller, Animation, Crime, Drama, Fantasy",3.62,5.2524
2009,Pokémon: Arceus and the Jewel of Life,Kunihiko Yuyama,"Family, Animation, Adventure, Fantasy",None,4.4633
2009,Mobile Suit Gundam 00 Special Edition I: Celestial Being,Seiji Mizushima,"Action, Drama, Adventure, Science Fiction, War, Animation",None,4.4314
2010,King of Thorn,Kazuyoshi Katayama,"Fantasy, Animation, Science Fiction",3.15,4.4146
2010,Atashin'chi: The 3D Movie,Wataru Takahashi,"Animation, Comedy",None,4.7819
2010,X Game,Yôhei Fukuda,Horror,None,5.3555
2010,The Secret World of Arrietty,Hiromasa Yonebayashi,"Fantasy, Animation, Family",3.85,6.3292
2010,Naruto Shippuden the Movie: The Lost Tower,Masahiko Murata,"Adventure, Action, Animation",3.05,6.4135
2011,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Thriller, Animation, Action, Comedy, Horror, Mystery",3.16,7.0538
2011,From Up on Poppy Hill,Goro Miyazaki,"Animation, Drama",3.74,4.495
2011,GARO - Kiba: The Dark Knight,Keita Amemiya,"Fantasy, Action, Adventure",None,3.779
2011,Crossroads,Masatoshi Kurakata,Drama,3.21,3.459
2011,Magister Negi Magi: Anime Final,Ken'ichi Ishikura,"Action, Animation, Adventure, Fantasy",None,3.3144
2012,One Piece Film: Z,Tatsuya Nagamine,"Animation, Fantasy, Action, Adventure",3.64,5.0928
2012,Wolf Children,Mamoru Hosoda,"Animation, Family, Drama, Fantasy",4.12,5.2626
2012,Kamen Rider × Super Sentai: Super Hero Trouble – Who’s the culprit?!,Hiroyuki Kato,"Action, Comedy, Adventure, Science Fiction",None,4.8248
2012,Kamen Rider × Super Sentai: Super Hero Wars,Osamu Kaneda,"Action, Adventure, Science Fiction",3.39,6.004
2012,Berserk: The Golden Age Arc I - The Egg of the King,Toshiyuki Kubooka,"Animation, Action, Adventure, Fantasy",None,5.4631
2013,The Wind Rises,Hayao Miyazaki,"Drama, Animation, Romance, War, History",4.12,5.7925
2013,Dragon Ball Z: Battle of Gods,Masahiro Hosoda,"Animation, Action, Science Fiction",3.33,5.5316
2013,Pretty Cure All Stars New Stage 2: Friends from the Heart,Kouji Ogawa,"Animation, Action, Fantasy, Comedy, Adventure, Family",None,5.4186
2013,Sadako 3D 2,Tsutomu Hanabusa,Horror,2.06,4.9902
2013,R100,Hitoshi Matsumoto,"Comedy, Drama",3.24,4.8771
2014,Fate/kaleid liner Prisma☆Illya: Dance at the Sports Festival!,Masato Jimbo,"Animation, Fantasy, Comedy",None,18.5358
2014,Sekaiichi Hatsukoi Movie,Chiaki Kon,"Animation, Romance, Drama, Comedy",3.41,11.9417
2014,Girl's Blood,Koichi Sakamoto,"Action, Drama, Romance",None,6.5298
2014,Black Butler: Book of Murder,Noriyuki Abe,"Mystery, Animation, Adventure, Action",3.79,5.5712
2014,"Watch-out! Luna, the Teacher",Chihiro Nakamura,Comedy,None,5.4123
2015,Pokémon the Movie: Hoopa and the Clash of Ages,Kunihiko Yuyama,"Family, Adventure, Animation, Action, Fantasy",None,5.5192
2015,Murder on D Street,Shoji Kubota,Mystery,3.54,5.7211
2015,Dragon Ball Z: Resurrection 'F',Tadayoshi Yamamuro,"Action, Animation, Science Fiction",3.01,8.4486
2015,Initial D Legend 2: Racer,Masamitsu Hidaka,"Animation, Drama, Action",3.56,5.896
2015,Fate/kaleid liner Prisma☆Illya 2wei!: Magical Girl in Hot Springs Inn,Masato Jimbo,"Animation, Fantasy, Comedy",None,17.6564
2016,Your Name.,Makoto Shinkai,"Animation, Romance, Drama",4.23,17.7326
2016,A Silent Voice: The Movie,Naoko Yamada,"Animation, Drama, Romance",4.2,9.2583
2016,RE:BORN,Yuji Shimomura,"Action, Crime",None,8.4625
2016,HK: Hentai Kamen 2 - Abnormal Crisis,Yuichi Fukuda,"Action, Comedy",None,6.5865
2016,What if you can talk to your Belongings?,Futaro Koto,,None,5.4202
2017,Tokyo Idols,Kyoko Miyake,"Music, Documentary",3.54,5.1646
2017,Mazinger Z: Infinity,Junji Shimizu,"Action, Science Fiction, Animation",3.03,5.2583
2017,Resident Evil: Vendetta,Takanori Tsujimoto,"Action, Animation, Adventure, Science Fiction, Horror",3.09,4.862
2017,Godzilla: Planet of the Monsters,Hiroyuki Seshita,"Animation, Action, Science Fiction",2.62,6.4462
2017,Kamen Rider × Super Sentai: Ultra Super Hero Wars,Osamu Kaneda,"Action, Adventure, Science Fiction",3.07,5.7651
2018,Godzilla: The Planet Eater,Hiroyuki Seshita,"Animation, Science Fiction, Action, Adventure",2.49,6.2979
2018,Yo-kai Watch: Friends Forever,Shigeharu Takahashi,"Animation, Fantasy, Adventure",3.47,5.3745
2018,The Testament of Sister New Devil: Departures,Hisashi Saito,"Animation, Action, Romance, Fantasy",3.1,5.3224
2018,Call Boy,Daisuke Miura,Drama,2.71,4.5847
2018,Kamen Rider Ex-Aid Trilogy: Another Ending - Kamen Rider Para-DX with Poppy,Nobuhiro Suzumura,"Science Fiction, Action, Adventure",None,4.3694
2019,Saekano the Movie: Finale,Kanta Kamei,"Animation, Comedy, Romance, Drama",3.7,6.4207
2019,Utano Princesama Maji LOVE Kingdom,Jouji Furuta,"Animation, Romance, Music",None,5.8901
2019,Weathering with You,Makoto Shinkai,"Animation, Drama, Fantasy, Romance",3.69,5.693
2019,It Feels So Good,Haruhiko Arai,"Drama, Romance",3.46,5.581
2019,One Piece: Episode of Skypiea,Konosuke Uda,"TV Movie, Animation, Action, Adventure, Comedy",3.31,5.5024
2020,Secret × Heroine Phantomirage! ~We've Become a Movie~,Takashi Miike,"Family, Comedy, Fantasy, Action",None,4.3858
2020,"Josee, the Tiger and the Fish",Kotaro Tamura,"Animation, Drama, Romance",3.77,3.8327
2020,Digimon Adventure: Last Evolution Kizuna,Tomohisa Taguchi,"Animation, Action, Adventure, Fantasy",3.87,5.9039
2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Haruo Sotozaki,"Animation, Action, Fantasy",None,11.204
2020,Dangerous Drugs of Sex,Hideo Jojo,"Thriller, Drama, Horror",2.39,4.8885
2021,Jujutsu Kaisen 0,Sunghoo Park,"Animation, Action, Fantasy",3.92,8.7984
2021,Cube,Yasuhiko Shimizu,"Thriller, Mystery, Science Fiction",3.27,5.0297
2021,Rurouni Kenshin: The Final,Keishi Otomo,"Action, Adventure, History, Drama",3.61,5.0254
2021,Eureka: Eureka Seven Hi-Evolution,Tomoki Kyoda,"Animation, Drama, Adventure, Science Fiction, Romance, Action",None,5.0139
2021,DOORS,倉持裕,,None,4.9897
2022,The Quintessential Quintuplets Movie,Masato Jimbo,"Animation, Comedy, Romance",3.34,4.8813
2022,Suzume,Makoto Shinkai,"Animation, Drama, Adventure, Fantasy",3.82,5.8709
2022,Fruits Basket -prelude-,Yoshihide Ibata,"Animation, Drama, Romance",None,6.3405
2022,DEEMO Memorial Keys,Shuhei Matsushita,"Animation, Drama, Romance, Mystery, Fantasy",2.96,8.9019
2022,Dragon Ball Super: Super Hero,Tetsuro Kodama,"Animation, Science Fiction, Action",3.47,6.6683
2023,Godzilla Minus One,Takashi Yamazaki,"Science Fiction, Horror, Action",4.07,10.4259
2023,The Boy and the Heron,Hayao Miyazaki,"Animation, Adventure, Fantasy, Drama, Family",3.91,10.2872
2023,Perfect Days,Wim Wenders,Drama,None,7.2118
2023,Resident Evil: Death Island,Eiichiro Hasumi,"Action, Animation, Science Fiction, Horror",2.92,6.9319
2023,Monster,Hirokazu Kore-eda,"Mystery, Thriller, Drama",3.66,6.6323
2024,Drawing Closer,Takahiro Miki,"Romance, Drama",4.05,6.0718
2024,"Woman who married into a farm family, fine fingers of a future wife",Sukejirou Oniashi,Romance,None,6.3984
2024,Look Back,Kiyotaka Oshiyama,"Animation, Drama",None,5.6588
2024,Solo Leveling -ReAwakening-,Shunsuke Nakashige,"Action, Adventure, Fantasy, Animation",None,12.5729
2024,My Hero Academia: You're Next,Tensai Okamura,"Animation, Action, Adventure, Science Fiction",3.36,6.4424
2025,Chainsaw Man - The Movie: Reze Arc,Tatsuya Yoshihara,"Animation, Action, Romance, Fantasy",None,32.9546
2025,JUJUTSU KAISEN: Execution,Shota Goshozono,"Animation, Action",3.39,28.4917
2025,Demon Slayer: Kimetsu no Yaiba Infinity Castle,Haruo Sotozaki,"Animation, Action, Fantasy",4.03,81.0113
2025,Exit 8,Genki Kawamura,"Horror, Mystery",3.11,50.7896
2025,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,Tatsuya Ishihara,"Animation, Comedy, Fantasy",None,10.4615
